ID,target_residue,residue_location,protein_location,PTM_type,ChEBI,RESID,CCD_substructure,Check,CCD_resid,CCD_combined
(5R)-5-hydroxylysine,Lysine.,Amino acid side chain.,Anywhere.,Hydroxylation.,133442,AA0028,LYZ,LYZ,LYZ,LYZ
(5S)-5-hydroxylysine,Lysine.,Amino acid side chain.,Anywhere.,Hydroxylation.,141843,AA0578,LYZ,nan,nan,LYZ
"""7-hydroxytryptophan""",Tryptophan.,Amino acid side chain.,Anywhere.,Hydroxylation.,141831,AA0520,0AF,0AF,0AF,0AF
Hydroxyarginine,Arginine.,Amino acid side chain.,Anywhere.,Hydroxylation.,141997,nan,nan,nan,nan,
Hydroxyproline,Proline.,Amino acid side chain.,Anywhere.,Hydroxylation.,141993,nan,nan,nan,nan,
"N6-(3,6-diaminohexanoyl)-5-hydroxylysine",Lysine.,Amino acid side chain.,Anywhere.,Hydroxylation.,156054,nan,nan,nan,nan,
N6-(2-hydroxyisobutyryl)lysine,Lysine.,Amino acid side chain.,Anywhere.,Hydroxylation.,144968,nan,nan,nan,nan,
N6-(beta-hydroxybutyryl)lysine,Lysine.,Amino acid side chain.,Anywhere.,Hydroxylation.,149490,nan,nan,nan,nan,KHB
Hypusine,Lysine.,Amino acid side chain.,Anywhere.,Hypusine.,91175,AA0116,5CT,nan,nan,5CT
Cholesterol glycine ester,Glycine.,Amino acid backbone.,C-terminal.,Lipoprotein.,143135,AA0309,nan,nan,nan,
N6-decanoyllysine,Lysine.,Amino acid side chain.,Anywhere.,Lipoprotein.,143222,nan,nan,nan,nan,
O-decanoyl threonine,Threonine.,Amino acid side chain.,Anywhere.,Lipoprotein.,143546,AA0387,nan,nan,nan,
O-decanoyl serine,Serine.,Amino acid side chain.,Anywhere.,Lipoprotein.,143549,AA0385,nan,nan,nan,
Omega-hydroxyceramide glutamate ester,Glutamine.,Amino acid side chain.,Anywhere.,Lipoprotein.,nan,AA0347,nan,nan,nan,
O-hexanoyl serine,Serine.,Amino acid side chain.,Anywhere.,Lipoprotein.,177289,nan,nan,nan,nan,
O-octanoyl serine,Serine.,Amino acid side chain.,Anywhere.,Lipoprotein.,143548,AA0290,1IC,nan,nan,1IC
O-octanoyl threonine,Threonine.,Amino acid side chain.,Anywhere.,Lipoprotein.,143547,AA0386,nan,nan,nan,
Phosphatidylethanolamine amidated glycine,Glycine.,Amino acid backbone.,C-terminal.,Lipoprotein.,172941,AA0346,nan,nan,nan,
Phosphatidylserine amidated glycine,Glycine.,Amino acid backbone.,C-terminal.,Lipoprotein.,172942,nan,nan,nan,nan,
"S-(15-deoxy-Delta12,14-prostaglandin J2-9-yl)cysteine",Cysteine.,Amino acid side chain.,Anywhere.,Lipoprotein.,143698,AA0426,nan,nan,nan,
S-archaeol cysteine,Cysteine.,Amino acid side chain.,N-terminal.,Lipoprotein.,143704,AA0223,nan,nan,nan,
