ID,target_residue,residue_location,protein_location,PTM_type,ChEBI,RESID,CCD_substructure,Check,CCD_resid,CCD_combined
Tele-8alpha-FAD histidine,Histidine.,Amino acid side chain.,Anywhere.,FAD.,nan,AA0221,nan,nan,nan,
Tele-8alpha-FMN histidine,Histidine.,Amino acid side chain.,Anywhere.,FMN.,nan,AA0352,nan,nan,nan,
Thiazolidine linkage to a ring-opened DNA abasic site,Cysteine.,Amino acid side chain.,N-terminal.,Covalent protein-DNA linkage.,145793.0,nan,nan,nan,nan,
Threonine methyl ester,Threonine.,Amino acid backbone.,C-terminal.,Methylation.,nan,AA0507,nan,nan,nan,
Tryptophan derivative,Tryptophan.,nan,nan,nan,nan,nan,nan,nan,nan,
Tryptophylquinone,Tryptophan.,Amino acid side chain.,Anywhere.,nan,nan,AA0148,nan,TRQ,TRQ,TRQ
5-glutamyl dopamine,Glutamine.,Amino acid side chain.,Anywhere.,nan,167175.0,nan,nan,nan,nan,
5-glutamyl histamine,Glutamine.,Amino acid side chain.,Anywhere.,nan,167179.0,AA0596,nan,nan,nan,
5-glutamyl noradrenaline,Glutamine.,Amino acid side chain.,Anywhere.,nan,167178.0,nan,nan,nan,nan,
5-glutamyl serotonin,Glutamine.,Amino acid side chain.,Anywhere.,nan,167174.0,AA0528,nan,nan,nan,
